Experiment name: EXP_0_1
Epoch [236/400], Average Loss: 4.3947e-04, Test Loss: 4.3995e-04, Current_LR:0.0002
Epoch [237/400], Average Loss: 4.4557e-04, Test Loss: 4.3178e-04, Current_LR:0.0002
Epoch [238/400], Average Loss: 4.3684e-04, Test Loss: 4.3961e-04, Current_LR:0.0002
Epoch [239/400], Average Loss: 4.3427e-04, Test Loss: 4.3688e-04, Current_LR:0.0002
Epoch [240/400], Average Loss: 4.3735e-04, Test Loss: 4.5065e-04, Current_LR:0.0002
Epoch [241/400], Average Loss: 4.4120e-04, Test Loss: 4.3598e-04, Current_LR:0.0002
Epoch [242/400], Average Loss: 4.3673e-04, Test Loss: 4.3815e-04, Current_LR:0.0002
Epoch [243/400], Average Loss: 4.3518e-04, Test Loss: 4.3153e-04, Current_LR:0.0002
Epoch [244/400], Average Loss: 4.3817e-04, Test Loss: 4.4834e-04, Current_LR:0.0002
Epoch [245/400], Average Loss: 4.3723e-04, Test Loss: 4.4859e-04, Current_LR:0.0002
Epoch [246/400], Average Loss: 4.3448e-04, Test Loss: 4.4490e-04, Current_LR:0.0002
Epoch [247/400], Average Loss: 4.3446e-04, Test Loss: 4.3176e-04, Current_LR:0.0002
Epoch [248/400], Average Loss: 4.3423e-04, Test Loss: 4.3464e-04, Current_LR:0.0002
Epoch [249/400], Average Loss: 4.3651e-04, Test Loss: 4.3706e-04, Current_LR:0.0002
Epoch [250/400], Average Loss: 4.3526e-04, Test Loss: 4.3642e-04, Current_LR:0.0002
Epoch [251/400], Average Loss: 4.3140e-04, Test Loss: 4.3356e-04, Current_LR:0.0002
Epoch [252/400], Average Loss: 4.3570e-04, Test Loss: 4.3973e-04, Current_LR:0.0002
Epoch [253/400], Average Loss: 4.3258e-04, Test Loss: 4.5079e-04, Current_LR:0.0002
Epoch [254/400], Average Loss: 4.3171e-04, Test Loss: 4.7260e-04, Current_LR:0.0002
Epoch [255/400], Average Loss: 4.3429e-04, Test Loss: 4.3284e-04, Current_LR:0.0002
Epoch [256/400], Average Loss: 4.3361e-04, Test Loss: 4.3607e-04, Current_LR:0.0001
Epoch [257/400], Average Loss: 4.3286e-04, Test Loss: 4.3403e-04, Current_LR:0.0001
Epoch [258/400], Average Loss: 4.3171e-04, Test Loss: 4.2967e-04, Current_LR:0.0001
Epoch [259/400], Average Loss: 4.2930e-04, Test Loss: 4.3426e-04, Current_LR:0.0001
Epoch [260/400], Average Loss: 4.3196e-04, Test Loss: 4.3306e-04, Current_LR:0.0001
Epoch [261/400], Average Loss: 4.3308e-04, Test Loss: 4.3317e-04, Current_LR:0.0001
Epoch [262/400], Average Loss: 4.3263e-04, Test Loss: 4.2996e-04, Current_LR:0.0001
Epoch [263/400], Average Loss: 4.3139e-04, Test Loss: 4.3240e-04, Current_LR:0.0001
Epoch [264/400], Average Loss: 4.2953e-04, Test Loss: 4.3546e-04, Current_LR:0.0001
Epoch [265/400], Average Loss: 4.2923e-04, Test Loss: 4.3254e-04, Current_LR:0.0001
Epoch [266/400], Average Loss: 4.3236e-04, Test Loss: 4.3121e-04, Current_LR:0.0001
Epoch [267/400], Average Loss: 4.2989e-04, Test Loss: 4.2759e-04, Current_LR:0.0001
Epoch [268/400], Average Loss: 4.3145e-04, Test Loss: 4.3028e-04, Current_LR:0.0001
